iter	Passed	Remaining
411	3393	4843
412	3401	4834
413	3408	4824
414	3416	4816
415	3425	4809
416	3432	4799
417	3440	4790
418	3447	4781
419	3455	4771
420	3462	4762
421	3470	4752
422	3477	4743
423	3484	4734
424	3492	4724
425	3499	4715
426	3507	4706
427	3514	4696
428	3522	4688
429	3529	4679
430	3537	4670
431	3544	4660
432	3552	4652
433	3560	4643
434	3568	4634
435	3575	4624
436	3582	4615
437	3589	4606
438	3597	4596
439	3604	4587
440	3611	4578
441	3619	4569
442	3627	4560
443	3634	4551
444	3642	4542
445	3649	4533
446	3657	4524
447	3665	4516
448	3672	4507
449	3680	4498
450	3687	4488
451	3696	4482
452	3704	4472
453	3711	4464
454	3719	4455
455	3726	4445
456	3734	4436
457	3741	4428
458	3748	4418
459	3756	4409
460	3763	4400
461	3771	4391
462	3778	4382
463	3785	4373
464	3793	4364
465	3800	4354
466	3807	4345
467	3814	4336
468	3822	4327
469	3830	4319
470	3838	4311
471	3847	4303
472	3854	4294
473	3862	4285
474	3869	4276
475	3877	4268
476	3884	4259
477	3892	4251
478	3899	4241
479	3907	4233
480	3914	4224
481	3922	4215
482	3930	4206
483	3937	4197
484	3944	4188
485	3951	4179
486	3959	4170
487	3966	4161
488	3975	4154
489	3982	4145
490	3990	4136
491	3997	4127
492	4005	4119
493	4012	4110
494	4020	4101
495	4027	4092
496	4034	4083
497	4042	4074
498	4049	4065
499	4057	4057
500	4064	4048
501	4071	4039
502	4079	4030
503	4088	4023
504	4096	4015
505	4104	4007
506	4112	3998
507	4120	3990
508	4127	3981
509	4134	3972
510	4145	3966
511	4152	3958
512	4160	3949
513	4168	3940
514	4175	3932
515	4182	3923
516	4190	3914
517	4197	3905
518	4205	3897
519	4212	3888
520	4221	3880
521	4228	3872
522	4236	3863
523	4243	3854
524	4251	3846
525	4258	3837
526	4266	3829
527	4273	3820
528	4281	3811
529	4288	3803
530	4296	3794
531	4303	3786
532	4311	3777
533	4318	3768
534	4326	3760
535	4333	3751
536	4340	3742
537	4351	3736
538	4359	3729
539	4367	3720
540	4374	3711
541	4382	3703
542	4389	3694
543	4397	3686
544	4404	3677
545	4412	3668
546	4419	3660
547	4427	3652
548	4434	3643
549	4442	3634
550	4449	3625
551	4457	3617
552	4464	3608
553	4471	3600
554	4479	3591
555	4486	3582
556	4494	3574
557	4503	3567
558	4511	3559
559	4518	3550
560	4526	3542
561	4533	3533
562	4542	3525
563	4549	3516
564	4557	3508
565	4564	3500
566	4572	3491
567	4580	3483
568	4587	3475
569	4594	3466
570	4602	3458
571	4610	3450
572	4618	3441
573	4625	3432
574	4632	3424
575	4640	3415
576	4648	3407
577	4656	3399
578	4663	3391
579	4671	3382
580	4678	3374
581	4686	3365
582	4693	3357
583	4701	3349
584	4708	3340
585	4716	3332
586	4724	3323
587	4731	3315
588	4739	3307
589	4746	3298
590	4754	3290
591	4761	3281
592	4771	3274
593	4778	3266
594	4786	3258
595	4793	3249
596	4801	3241
597	4809	3232
598	4817	3224
599	4824	3216
600	4832	3208
601	4839	3199
602	4847	3191
603	4855	3183
604	4862	3174
605	4869	3166
606	4877	3158
607	4885	3149
608	4892	3141
609	4900	3132
610	4907	3124
611	4914	3115
612	4922	3107
613	4930	3099
614	4937	3091
615	4945	3083
616	4952	3074
617	4960	3066
618	4967	3057
619	4975	3049
620	4983	3041
621	4991	3033
622	4998	3024
623	5007	3017
624	5014	3008
625	5022	3000
626	5029	2992
627	5036	2983
628	5044	2975
629	5051	2966
630	5060	2959
631	5067	2950
632	5075	2942
633	5082	2934
634	5090	2926
635	5097	2917
636	5105	2909
637	5113	2901
638	5120	2893
639	5128	2884
640	5136	2876
641	5143	2868
642	5150	2859
643	5158	2851
644	5165	2843
645	5173	2834
646	5180	2826
647	5188	2818
648	5196	2810
649	5204	2802
650	5211	2794
651	5219	2785
652	5226	2777
653	5235	2769
654	5242	2761
655	5250	2753
656	5257	2744
657	5264	2736
658	5271	2727
659	5279	2719
660	5286	2711
661	5293	2702
662	5301	2694
663	5312	2688
664	5320	2680
665	5330	2673
666	5338	2665
667	5348	2658
668	5356	2650
669	5366	2643
670	5378	2637
671	5388	2629
672	5398	2623
673	5406	2615
674	5414	2607
675	5422	2598
676	5430	2590
677	5438	2582
678	5446	2574
679	5454	2566
680	5463	2559
681	5471	2551
682	5481	2543
683	5489	2536
684	5497	2528
685	5506	2520
686	5514	2512
687	5523	2504
688	5531	2496
689	5539	2488
690	5547	2480
691	5556	2472
692	5563	2464
693	5571	2456
694	5580	2448
695	5588	2440
696	5595	2432
697	5603	2424
698	5612	2416
699	5620	2408
700	5627	2400
701	5635	2392
702	5643	2384
703	5651	2376
704	5659	2368
705	5666	2359
706	5674	2351
707	5682	2343
708	5689	2335
709	5697	2327
710	5704	2318
711	5712	2310
712	5720	2302
713	5727	2294
714	5735	2286
715	5744	2278
716	5752	2270
717	5759	2262
718	5767	2254
719	5774	2245
720	5782	2237
721	5790	2229
722	5798	2221
723	5805	2213
724	5813	2204
725	5820	2196
726	5828	2188
727	5836	2180
728	5843	2172
729	5851	2164
730	5858	2155
731	5866	2147
732	5874	2139
733	5882	2131
734	5890	2123
735	5898	2115
736	5905	2107
737	5914	2099
738	5921	2091
739	5929	2083
740	5936	2074
741	5944	2066
742	5951	2058
743	5959	2050
744	5966	2042
745	5974	2034
746	5981	2025
747	5989	2017
748	5998	2010
749	6005	2001
750	6013	1993
751	6022	1986
752	6029	1977
753	6037	1969
754	6044	1961
755	6052	1953
756	6059	1945
757	6066	1936
758	6074	1928
759	6081	1920
760	6089	1912
761	6096	1904
762	6104	1896
763	6111	1887
764	6119	1879
765	6127	1871
766	6134	1863
767	6142	1855
768	6150	1847
769	6158	1839
770	6165	1831
771	6173	1823
772	6180	1815
773	6187	1806
774	6195	1798
775	6205	1791
776	6212	1782
777	6220	1774
778	6227	1766
779	6235	1758
780	6242	1750
781	6250	1742
782	6258	1734
783	6266	1726
784	6273	1718
785	6280	1710
786	6287	1701
787	6296	1694
788	6304	1685
789	6311	1677
790	6319	1669
791	6328	1661
792	6336	1653
793	6344	1646
794	6352	1638
795	6360	1629
796	6367	1621
797	6375	1613
798	6383	1605
799	6394	1598
800	6402	1590
801	6410	1582
802	6419	1574
803	6427	1566
804	6436	1559
805	6444	1551
806	6452	1543
807	6461	1535
808	6469	1527
809	6477	1519
810	6485	1511
811	6494	1503
812	6502	1495
813	6512	1488
814	6521	1480
815	6531	1472
816	6540	1464
817	6549	1457
818	6560	1449
819	6569	1442
820	6581	1434
821	6591	1427
822	6600	1419
823	6608	1411
824	6617	1403
825	6625	1395
826	6637	1388
827	6646	1380
828	6654	1372
829	6662	1364
830	6670	1356
831	6679	1348
832	6687	1340
833	6696	1332
834	6704	1324
835	6713	1317
836	6721	1309
837	6729	1301
838	6739	1293
839	6786	1292
840	6820	1289
841	6834	1282
842	6851	1276
843	6865	1268
844	6873	1260
845	6883	1252
846	6896	1245
847	6906	1237
848	6915	1230
849	6926	1222
850	6935	1214
851	6944	1206
852	6951	1198
853	6960	1189
854	6968	1181
855	6976	1173
856	6985	1165
857	6993	1157
858	7001	1149
859	7009	1141
860	7017	1132
861	7026	1124
862	7034	1116
863	7042	1108
864	7050	1100
865	7059	1092
866	7067	1084
867	7076	1076
868	7084	1068
869	7094	1060
870	7102	1051
871	7111	1043
872	7119	1035
873	7127	1027
874	7135	1019
875	7144	1011
876	7152	1003
877	7160	994
878	7169	986
879	7177	978
880	7187	970
881	7198	963
882	7209	955
883	7219	947
884	7228	939
885	7239	931
886	7249	923
887	7258	915
888	7268	907
889	7277	899
890	7288	891
891	7301	884
892	7310	875
893	7320	867
894	7329	859
895	7338	851
896	7347	843
897	7355	835
898	7364	827
899	7373	819
900	7382	811
901	7390	802
902	7399	794
903	7409	786
904	7419	778
905	7430	770
906	7438	762
907	7448	754
908	7457	746
909	7468	738
910	7478	730
911	7487	722
912	7497	714
913	7506	706
914	7514	698
915	7524	690
916	7532	681
917	7544	673
918	7553	665
919	7562	657
920	7571	649
921	7579	641
922	7588	633
923	7597	624
924	7608	616
925	7616	608
926	7625	600
927	7634	592
928	7643	584
929	7652	576
930	7661	567
931	7671	559
932	7680	551
933	7689	543
934	7697	535
935	7705	526
936	7714	518
937	7723	510
938	7732	502
939	7743	494
940	7752	486
941	7760	477
942	7769	469
943	7777	461
944	7787	453
945	7795	445
946	7803	436
947	7813	428
948	7822	420
949	7831	412
950	7840	403
951	7849	395
952	7857	387
953	7866	379
954	7876	371
955	7884	362
956	7893	354
957	7901	346
958	7910	338
959	7918	329
960	7927	321
961	7935	313
962	7943	305
963	7952	296
964	7961	288
965	7970	280
966	7979	272
967	7988	264
968	7997	255
969	8006	247
970	8014	239
971	8022	231
972	8030	222
973	8039	214
974	8047	206
975	8055	198
976	8063	189
977	8071	181
978	8078	173
979	8086	165
980	8094	156
981	8103	148
982	8111	140
983	8119	132
984	8127	123
985	8135	115
986	8143	107
987	8151	99
988	8162	90
989	8170	82
990	8178	74
991	8186	66
992	8194	57
993	8203	49
994	8211	41
995	8220	33
996	8228	24
997	8237	16
998	8245	8
999	8254	0
